,ZONE,AISLE,BAY,LVL,LOCATION,LOCATION_TYPE,PERM / TEMP,LOC WIDTH,LOC LENGTH,LOC HEIGHT,CURR MIN,CURR MAX,SKU,DESCRIPTION,UNIT HEIGHT,UNIT WIDTH,UNIT LENGTH,UNIT WEIGHT,UNIT VOLUME,PACK FLAG,DAILY UNITS,DAILY CUBIC VELOCITY,DAILY HITS,WAVE TASK (4 WEEKS),LEAN TASK (4 WEEKS),TOTAL TASK (4 WEEKS),WEEK 1 UNITS (NEWEST),WEEK 2 UNITS,WEEK 3 UNITS,WEEK 4 UNITS (OLDEST),WEEKLY AVERAGE,ON-HAND INVENTORY,Weight > 35,LV,IV,DS
16983,CP2,1,69,D,CP2-001-069-D05,Pick Mod - Carton Flow,P,31.5,100.0,14.5,10.0,20.0,1002267692.0,DUNCAN 52 IN. LED INDOOR FRESH WHITE,8.5,20.5,19.0,21.16,3310.75,SR,0.83,2758.96,0.83,1,1,2,0,20,0,0,5.0,0,No,45675.0,66215.0,-20540.0
17086,CP2,1,71,A,CP2-001-071-A03,Pick Mod - Carton Flow,P,10.5,100.0,14.5,4.0,16.0,1002493499.0,RIDGID 600 CFM MINI AIR MOVER,11.0,13.5,12.75,12.28,1893.375,SR,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,10,No,15225.0,30294.0,-15069.0
17090,CP2,1,71,C,CP2-001-071-C03,Pick Mod - Carton Flow,P,10.5,100.0,14.5,10.0,35.0,1001965315.0,15-PIECE TRIPLE RIVET CUTLERY BLOCK,5.3,9.9,14.4,8.5,755.568,,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,14,No,15225.0,26444.88,-11219.880000000001
17092,CP2,1,71,D,CP2-001-071-D03,Pick Mod - Carton Flow,P,21.0,100.0,14.5,6.0,15.0,1000330519.0,LOW PROFILE IV 42 IN. INDOOR ANTIQUE,7.6,18.1,15.0,14.35,2063.4,,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,72,No,30450.0,30951.0,-501.0
17132,CP2,1,75,D,CP2-001-075-D01,Pick Mod - Carton Flow,P,21.0,100.0,14.5,2.0,72.0,503074.0,20X30 RHEEM BASIC HOUSEHOLD,29.75,19.75,0.9,0.55,528.8062,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,24,No,30450.0,38074.0464,-7624.046399999999
17152,CP2,1,77,B,CP2-001-077-B01,Pick Mod - Carton Flow,P,21.0,100.0,14.5,5.0,20.0,1005653243.0,20V DEWALT POWER CLEANER TOOL ONLY,6.0,11.133,25.025,9.8,1671.6199,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,34,No,30450.0,33432.398,-2982.398000000001
17185,CP2,1,79,C,CP2-001-079-C08,Pick Mod - Carton Flow,P,10.5,100.0,14.5,5.0,10.0,1005223438.0,FLEXVOLT 60-VOLT MAX 7-1/4 IN. CORDL,9.375,9.625,19.688,12.7,1776.5343,,0.04,74.02,0.04,0,0,0,0,0,1,0,0.25,0,No,15225.0,17765.343,-2540.3430000000008
17239,CP2,1,83,C,CP2-001-083-C01,Pick Mod - Carton Flow,P,42.0,100.0,14.5,4.0,24.0,1000026032.0,DEWALT 18/20V MAX CRDLESS WET/DRY VA,12.0,13.0,17.0,9.895,2652.0,,2.0,5304.0,2.0,0,0,0,19,12,17,0,12.0,0,No,60900.0,63648.0,-2748.0
17243,CP2,1,83,D,CP2-001-083-D03,Pick Mod - Carton Flow,P,21.0,100.0,14.5,4.0,8.0,1005356500.0,"TOUGH SYSTEM 2.0, 22 IN. EXTRA LARGE",16.185,14.625,21.645,12.01,5123.4932,,0.04,213.48,0.04,0,0,0,1,0,0,0,0.25,0,No,30450.0,40987.9456,-10537.9456
17303,CP2,1,91,A,CP2-001-091-A02,Pick Mod - Pallet Flow,P,48.0,144.0,62.0,40.0,160.0,1001599442.0,RYOBI 18V ONE+ HEDGE TRIM TOOL-ONLY,7.03,10.33,39.55,9.32,2872.117,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,213,No,428544.0,459538.72000000003,-30994.72000000003
17391,CP2,1,103,A,CP2-001-103-A01,Pick Mod - Pallet Flow,P,48.0,144.0,62.0,360.0,1440.0,407266.0,PAPER LAWN BAGS-30GAL-5PK,1.3,14.2,16.25,2.76,299.975,,0.46,137.49,0.08,0,0,0,11,0,0,0,2.75,1323,No,428544.0,431964.00000000006,-3420.000000000058
17510,CP2,1,119,A,CP2-001-119-A01,Pick Mod - Pallet Flow,P,48.0,144.0,62.0,120.0,480.0,392605.0,5 GALLON REALTREE APG BUCKET,14.2,12.2,12.2,1.79,2113.528,SR,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,239,No,428544.0,1014493.44,-585949.44
